CNAE,n_ocup_pond,renda_total_pond,n_empregador_pond,renda_empregador_pond,n_conta_propria_pond,renda_conta_propria_pond,Renda Média_Total,Renda Média_empregador,Renda Média_conta_propria,Trimestre
0.0,881.98231059,0.0,0.0,0.0,881.98231059,0.0,0.0,,0.0,1T2021
1102.0,40149.2717389,111753.92928699999,0.0,0.0,30656.196909609997,111753.92928699999,2.7834609308423235,,3.645394424380402,1T2021
1105.0,40742.89771783,0.0,0.0,0.0,3440.41879446,0.0,0.0,,0.0,1T2021
1108.0,33624.36859287,0.0,0.0,0.0,20974.1416067,0.0,0.0,,0.0,1T2021
1109.0,80999.75240652001,0.0,1721.38716729,0.0,58808.61225223,0.0,0.0,0.0,0.0,1T2021
1110.0,26115.57018099,0.0,0.0,0.0,12016.0164267,0.0,0.0,,0.0,1T2021
1111.0,5641.992863750001,0.0,0.0,0.0,3824.86950674,0.0,0.0,,0.0,1T2021
1115.0,8740.62225849,0.0,0.0,0.0,1569.77079984,0.0,0.0,,0.0,1T2021
1116.0,17879.774818979997,0.0,0.0,0.0,10530.409262209998,0.0,0.0,,0.0,1T2021
1117.0,12642.703883180002,0.0,0.0,0.0,2845.36216779,0.0,0.0,,0.0,1T2021
1119.0,18818.94674184,513474.5840425,0.0,0.0,14055.54408739,513474.5840425,27.284979924030306,,36.531818394932586,1T2021
1201.0,27051.56125014,0.0,0.0,0.0,13376.6593179,0.0,0.0,,0.0,1T2021
1202.0,402.87844564,0.0,402.87844564,0.0,0.0,0.0,0.0,0.0,,1T2021
1203.0,6624.41684041,0.0,0.0,0.0,5019.55566209,0.0,0.0,,0.0,1T2021
1204.0,2054.76665109,0.0,0.0,0.0,1227.50333072,0.0,0.0,,0.0,1T2021
1205.0,9734.02553309,0.0,1403.92407646,0.0,925.3678796300001,0.0,0.0,0.0,0.0,1T2021
1206.0,411.2745055,0.0,0.0,0.0,205.63725275,0.0,0.0,,0.0,1T2021
1209.0,1129.41333753,0.0,0.0,0.0,1129.41333753,0.0,0.0,,0.0,1T2021
1401.0,1276.5880565500001,0.0,0.0,0.0,931.49236811,0.0,0.0,,0.0,1T2021
1402.0,1666.18516055,0.0,0.0,0.0,1070.38354714,0.0,0.0,,0.0,1T2021
1999.0,217.99845458,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
2000.0,2754.26579657,0.0,0.0,0.0,155.88242536,0.0,0.0,,0.0,1T2021
3001.0,7821.35638069,0.0,818.07714506,0.0,6028.25256356,0.0,0.0,0.0,0.0,1T2021
3002.0,2713.4250549,0.0,0.0,0.0,2520.30418854,0.0,0.0,,0.0,1T2021
6000.0,546.998985,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
7002.0,2407.36381805,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
8001.0,4707.6235687,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
8002.0,1173.78465802,0.0,0.0,0.0,1173.78465802,0.0,0.0,,0.0,1T2021
10010.0,11206.51280435,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
10021.0,1510.09133669,0.0,0.0,0.0,408.07911213,0.0,0.0,,0.0,1T2021
10030.0,11353.21187753,0.0,0.0,0.0,8745.75023981,0.0,0.0,,0.0,1T2021
10091.0,12627.165819220001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
10092.0,12238.25537238,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
10099.0,14373.538945580001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
11000.0,6129.27294987,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
13001.0,6784.90256724,0.0,0.0,0.0,1025.96601694,0.0,0.0,,0.0,1T2021
13002.0,10385.74246855,0.0,468.46853909,0.0,4904.302561609999,0.0,0.0,0.0,0.0,1T2021
14001.0,99537.67525142,0.0,3901.09581025,0.0,35360.509279499995,0.0,0.0,0.0,0.0,1T2021
14002.0,26213.06057292,0.0,1459.74527102,0.0,19591.56675478,0.0,0.0,0.0,0.0,1T2021
15012.0,880.5934536,0.0,0.0,0.0,624.69802902,0.0,0.0,,0.0,1T2021
15020.0,1625.0015129600001,0.0,0.0,0.0,1625.0015129600001,0.0,0.0,,0.0,1T2021
16002.0,5547.64470713,0.0,0.0,0.0,2927.06918885,0.0,0.0,,0.0,1T2021
17001.0,861.18455408,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
17002.0,6783.650381120001,0.0,0.0,0.0,528.10939402,0.0,0.0,,0.0,1T2021
18000.0,9895.157553829999,0.0,0.0,0.0,1837.0062764599998,0.0,0.0,,0.0,1T2021
19020.0,1551.46885196,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
20010.0,387.89048317,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
20020.0,6250.730812719999,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
21000.0,2191.14388874,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
22020.0,9276.050697749999,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
23010.0,644.38654234,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
23091.0,12481.787596260001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
23099.0,11507.394813639998,0.0,0.0,0.0,219.04066752,0.0,0.0,,0.0,1T2021
24001.0,1297.94920389,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
24002.0,2676.49019978,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
25001.0,16819.65973002,0.0,0.0,0.0,6904.65287496,0.0,0.0,,0.0,1T2021
25002.0,2797.4884026,0.0,0.0,0.0,1413.05106886,0.0,0.0,,0.0,1T2021
26041.0,849.30471217,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
27090.0,8624.666796729998,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
28000.0,6067.577955860001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
29001.0,7453.697533769999,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
29002.0,1702.0964664199996,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
30010.0,379.92973295,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
31000.0,11704.484500650002,0.0,0.0,0.0,4146.0677926,0.0,0.0,,0.0,1T2021
32009.0,4831.41355001,0.0,0.0,0.0,2061.17327205,0.0,0.0,,0.0,1T2021
33001.0,3302.4883574299997,0.0,0.0,0.0,1587.14060752,0.0,0.0,,0.0,1T2021
33002.0,465.21136607,0.0,0.0,0.0,465.21136607,0.0,0.0,,0.0,1T2021
35010.0,8719.5651531,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
36000.0,5117.06027217,0.0,0.0,0.0,309.87755424,0.0,0.0,,0.0,1T2021
38000.0,3238.35851645,0.0,0.0,0.0,144.39313298,0.0,0.0,,0.0,1T2021
41000.0,156572.31868044997,0.0,206.13245984,0.0,91298.73025511,0.0,0.0,0.0,0.0,1T2021
42000.0,13722.93593731,0.0,0.0,0.0,1287.6233092100001,0.0,0.0,,0.0,1T2021
43000.0,51256.49849523,0.0,552.62507207,0.0,26131.34321082,0.0,0.0,0.0,0.0,1T2021
45010.0,6573.3398678700005,0.0,0.0,0.0,480.77060296,0.0,0.0,,0.0,1T2021
45020.0,68042.84211771,0.0,2137.73765866,0.0,26573.56135959,0.0,0.0,0.0,0.0,1T2021
45030.0,6817.479715880001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
45040.0,10974.373643010002,0.0,0.0,0.0,2715.6575755400004,0.0,0.0,,0.0,1T2021
48010.0,3427.7783182,0.0,0.0,0.0,285.67225008,0.0,0.0,,0.0,1T2021
48020.0,4032.0924613999996,0.0,0.0,0.0,2195.87620289,0.0,0.0,,0.0,1T2021
48030.0,156858.07884366997,0.0,6123.53513591,0.0,63610.14112382999,0.0,0.0,0.0,0.0,1T2021
48041.0,6247.01788434,0.0,0.0,0.0,1250.42730669,0.0,0.0,,0.0,1T2021
48042.0,63670.76324106001,0.0,2193.34488501,0.0,31114.32806085,0.0,0.0,0.0,0.0,1T2021
48050.0,29251.49198116,0.0,307.36402261,0.0,1757.05175621,0.0,0.0,0.0,0.0,1T2021
48060.0,12972.47101107,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
48071.0,65342.000140170014,0.0,0.0,0.0,39682.76454213001,0.0,0.0,,0.0,1T2021
48072.0,3778.6524091,0.0,0.0,0.0,1751.86087737,0.0,0.0,,0.0,1T2021
48073.0,24918.98087522,0.0,0.0,0.0,4832.77110071,0.0,0.0,,0.0,1T2021
48074.0,5015.773699789999,0.0,598.43577102,0.0,870.47533488,0.0,0.0,0.0,0.0,1T2021
48075.0,5062.01939877,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
48076.0,14305.82618047,0.0,0.0,0.0,4780.6376166499995,0.0,0.0,,0.0,1T2021
48078.0,6572.72345734,0.0,0.0,0.0,3445.48310752,0.0,0.0,,0.0,1T2021
48079.0,36417.5398413,0.0,3253.20016495,0.0,12876.577119920003,0.0,0.0,0.0,0.0,1T2021
48080.0,67240.55699931999,0.0,824.22479877,0.0,114.81289102,0.0,0.0,0.0,0.0,1T2021
48090.0,6503.35098343,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
48100.0,43312.37446400001,0.0,268.51696221,0.0,36514.196247960004,0.0,0.0,0.0,0.0,1T2021
49010.0,1054.24254233,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
49030.0,97883.0695657,0.0,0.0,0.0,80329.86755177,0.0,0.0,,0.0,1T2021
49040.0,52635.279677709994,0.0,1726.054465,0.0,14733.209523129997,0.0,0.0,0.0,0.0,1T2021
51000.0,881.95521218,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
52010.0,1036.50509762,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
52020.0,3690.28895819,0.0,0.0,0.0,405.08631163,0.0,0.0,,0.0,1T2021
53001.0,3475.57437813,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
53002.0,26773.599186990003,0.0,0.0,0.0,25543.317748140005,0.0,0.0,,0.0,1T2021
55000.0,13221.82449512,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
56011.0,112447.59532831998,0.0,2728.4003241,0.0,29731.66320789,0.0,0.0,0.0,0.0,1T2021
56012.0,34155.59453927,0.0,0.0,0.0,29273.01788824,0.0,0.0,,0.0,1T2021
56020.0,24973.41580719,0.0,0.0,0.0,24020.95461865,0.0,0.0,,0.0,1T2021
60001.0,1133.30662824,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
61000.0,12494.055353040001,0.0,2702.81621105,0.0,508.59611415,0.0,0.0,0.0,0.0,1T2021
62000.0,18784.69805024,0.0,0.0,0.0,5408.411063760001,0.0,0.0,,0.0,1T2021
63000.0,983.96258384,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
64000.0,30788.47197652,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
65000.0,1058.06361878,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
